interaction_id,customer_id,policy_id,clicked,viewed_duration,purchased,comparison_count,abandoned_cart
1,10,2,1,174.57,0,0,0
2,7,7,1,119.28,1,2,0
3,7,42,1,18.82,0,0,0
4,7,18,1,14.44,0,0,0
5,3,17,1,144.48,0,1,0
6,6,25,1,28.21,0,0,0
7,7,12,1,134.0,0,4,1
8,4,20,0,0.0,0,0,0
9,10,34,1,92.29,0,0,0
10,2,37,0,0.0,0,0,0
11,7,46,1,59.26,0,3,0
12,10,17,1,35.3,0,0,0
13,1,39,1,64.13,0,0,0
14,3,47,1,164.72,1,4,0
15,2,25,1,139.35,0,2,1
16,10,33,1,22.76,0,0,0
17,7,40,1,38.81,0,0,0
18,6,45,1,179.5,0,0,1
19,7,35,1,61.04,0,0,1
20,7,35,0,0.0,0,0,0
21,1,45,1,70.38,0,5,0
22,3,22,1,49.72,0,0,0
23,3,42,1,57.18,0,0,0
24,1,24,1,43.14,0,0,0
25,4,37,1,111.38,0,0,0
26,3,12,1,155.04,0,0,0
27,8,23,1,43.26,0,3,0
28,4,25,1,179.47,0,0,1
29,9,41,1,84.89,0,3,1
30,8,26,1,121.53,0,0,1
31,2,18,0,0.0,0,0,0
32,7,48,1,177.49,1,0,0
33,7,29,1,143.61,0,0,0
34,7,7,1,68.6,0,0,1
35,1,23,1,68.01,0,0,0
36,4,11,0,0.0,0,0,0
37,10,22,1,85.43,0,1,0
38,7,29,0,0.0,0,0,0
39,1,21,1,62.82,1,5,0
40,1,10,1,76.04,1,0,0
41,5,1,1,130.32,0,0,0
42,10,38,1,136.98,0,1,0
43,6,45,1,137.37,0,3,0
44,5,26,1,157.97,0,4,0
45,1,17,0,0.0,0,0,0
46,4,12,1,113.69,0,0,1
47,10,40,0,0.0,0,0,0
48,9,21,1,12.91,0,0,0
49,6,23,1,57.71,0,4,0
50,2,37,0,0.0,0,0,0
51,3,47,0,0.0,0,0,0
52,4,17,1,106.18,1,3,0
53,4,4,1,38.53,0,3,0
54,9,21,0,0.0,0,0,0
55,6,43,0,0.0,0,0,0
56,5,21,0,0.0,0,0,0
57,10,49,1,100.7,0,0,0
58,5,26,0,0.0,0,0,0
59,6,14,0,0.0,0,0,0
60,1,23,1,87.38,0,0,0
61,1,34,0,0.0,0,0,0
62,9,2,1,137.57,0,2,0
63,1,44,1,94.23,0,2,1
64,1,31,0,0.0,0,0,0
65,2,25,1,112.1,1,2,0
66,9,35,1,65.08,0,0,0
67,4,40,1,106.78,0,0,0
68,9,24,0,0.0,0,0,0
69,4,47,1,69.21,0,4,0
70,8,32,1,161.25,0,1,0
71,4,47,1,59.44,0,2,0
72,2,29,1,20.53,0,0,0
73,9,16,1,76.36,0,0,0
74,6,41,1,67.52,0,4,0
75,2,24,1,105.88,0,0,1
76,6,25,1,117.39,0,0,0
77,10,10,0,0.0,0,0,0
78,4,27,1,88.51,1,3,0
79,2,40,0,0.0,0,0,0
80,2,26,0,0.0,0,0,0
81,7,11,1,48.3,0,5,0
82,2,18,1,170.34,0,2,1
83,1,50,1,157.6,0,5,1
84,4,40,1,80.28,1,0,0
85,2,40,1,76.14,0,3,0
86,2,26,1,55.48,0,0,0
87,3,21,1,139.41,0,0,1
88,8,39,1,88.15,1,5,0
89,7,37,1,96.0,1,0,0
90,8,37,1,29.87,0,5,0
91,6,26,1,68.74,0,0,0
92,4,48,1,11.84,0,1,0
93,3,36,1,144.38,0,1,1
94,1,22,1,108.11,0,2,0
95,7,29,1,87.61,0,0,1
96,5,14,1,10.28,0,1,0
97,5,24,1,13.17,0,0,0
98,8,40,1,166.91,1,5,0
99,9,32,0,0.0,0,0,0
100,2,44,1,16.95,0,0,0
