policy_id,policy_name,policy_type,sum_assured (INR),premium_amount (INR),policy_duration_years,risk_category,customer_target_group,description,keywords
1,SBI Life - eShield Next,Term,"50,00,000","3,600",30,Low,Young Professionals,A pure term plan offering financial protection with multiple plan options and additional rider benefits.,"term, protection, rider, financial security"
2,SBI Life - Smart Scholar Plus,Child Plan,"10,00,000","50,000",20,Medium,Parents,A unit-linked insurance plan designed to secure your child's future with market-linked returns and insurance coverage.,"child plan, ULIP, education, future planning"
3,SBI Life - Retire Smart Plus,Retirement,"20,00,000","30,000",25,Medium,Pre-Retirees,A unit-linked pension plan that helps build a retirement corpus through market-linked returns with flexibility and loyalty additions.,"retirement, pension, ULIP, corpus building"
4,SBI Life - eWealth Plus,ULIP,"15,00,000","36,000",20,Medium,Tech-Savvy Investors,An online unit-linked insurance plan offering dual benefits of market-linked returns and life cover with easy online access.,"ULIP, online plan, investment, life cover"
5,SBI Life - Smart Elite Plus,ULIP,"25,00,000","2,50,000",15,High,High Net-Worth Individuals,A unit-linked insurance plan providing life cover and wealth maximization opportunities with a wide range of fund options.,"ULIP, high net-worth, investment, life cover"
6,SBI Life - Smart Platina Supreme,Savings,"10,00,000","50,000",20,Low,Conservative Savers,"A non-linked, non-participating savings plan offering regular guaranteed income during the payout period with flexibility to suit life goals.","savings, guaranteed income, long term, financial planning"
7,SBI Life - Smart Platina Assure,Savings,"5,00,000","50,000",15,Low,Traditional Savers,"A non-linked, non-participating life insurance savings product assuring guaranteed returns with limited premium payment terms.","savings, guaranteed returns, limited premium, life insurance"
8,SBI Life - New Smart Samriddhi,Savings,"7,00,000","30,000",12,Low,Individuals Seeking Assured Returns,A non-participating savings plan providing life cover and guaranteed additions with limited premium payment periods.,"savings, guaranteed additions, life cover, limited premium"
9,SBI Life - Smart Lifetime Saver,Savings,"15,00,000","30,000",100,Low,Individuals Seeking Lifetime Coverage,A savings plan offering life insurance cover till the age of 100 years with annual survival income and optional rider benefits.,"savings, lifetime cover, survival income, optional rider"
10,SBI Life - Smart Bachat Plus,Endowment,"5,00,000","5,100",20,Low,Budget-Conscious Individuals,"A non-linked, participating life insurance savings product with limited premium payment terms and two plan options.","endowment, savings, limited premium, participating plan"
